name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
Acetaldehyde,"CH3CHO,ethanal",466,55.5,0.154,0.2907,,,,,,,,,,,,,,
Acetamide,,761,66,0.215,0.421,,,,,,,,,,,,,,
Acetic acid,CH3COOH,591.95,57.86,0.177,0.4665,,,,,,,,,,,,,,
Acetic anhydride,,606,40,0.29,0.4535,,,,,,,,,,,,,,
Acetone,"C3H6O,acetone",508.2,47.01,0.209,0.3065,0.058,-215700,135600,-177,0.2837,0.000689,0,1,57040,163200,1607,96800,731.5,1
Acetonitrile,CH3CN,545.5,48.3,0.173,0.3379,,,,,,,,,,,,,,
Acetylene,"C2H2,acetylene",308.3,61.38,0.112,0.1912,0.026,228200,-122020,3082.7,-15.895,0.027732,0,1,31990,54240,1594,43250,607.1,1
Acrolein,,506,50,0.197,0.3198,,,,,,,,,,,,,,
Acrylic acid,,615,56.6,0.208,0.5383,,,,,,,,,,,,,,
Acrylonitrile,,535,44.8,0.212,0.3498,,,,,,,,,,,,,,
Ammonia,NH3,405.65,112.8,0.07247,0.2526,0.017,-45898,61.289,80925,799.4,-2651,0,2,33427,48980,2036,22560,882,1
Anisole,,645.6,42.5,0.337,0.3502,,,,,,,,,,,,,,
Aniline,,698.8,48.9,0.287,0.4041,,,,,,,,,,,,,,
Argon,Ar,150.86,48.98,0.07459,0,0.04,0,134390,-1989.4,11.043,0,0,1,20786,0,0,0,0,2
Benzamide,,824,50.5,0.346,0.5585,,,,,,,,,,,,,,
Benzene,C6H6,562.05,48.95,0.256,0.2103,0.078,82880,162940,-344.94,0.85562,0,0,1,44767,230850,1479.2,168360,677.66,1
Benzenethiol,,689,47.4,0.315,0.2628,,,,,,,,,,,,,,
Benzoic acid,,751,44.7,0.344,0.6028,,,,,,,,,,,,,,
Benzonitrile,,699.35,42.15,0.3132,0.3662,,,,,,,,,,,,,,
Benzophenone,,830,33.52,0.5677,0.5019,,,,,,,,,,,,,,
Benzyl alcohol,,720.15,43.74,0.382,0.3631,,,,,,,,,,,,,,
Benzyl ethyl ether,,662,31.1,0.442,0.4332,,,,,,,,,,,,,,
Benzyl mercaptan,,718,40.6,0.367,0.3126,,,,,,,,,,,,,,
Biphenyl,"C12H10,biphenyl",773,33.8,0.497,0.4029,,,,,,,,,,,,,,
Bromine,Br,584.15,103,0.135,0.129,,,,,,,,,,,,,,
Bromobenzene,,670.15,45.19,0.324,0.2506,,,,,,,,,,,,,,
Bromoethane,C2H5Br,503.8,62.3,0.215,0.2548,,,,,,,,,,,,,,
Bromomethane,CH3Br,467,80,0.156,0.1922,,,,,,,,,,,,,,
