T (K),P (kPa),Vapor fract
54,1,1.0
60,1,1.0
66,1,1.0
192,1,1.0
198,1,1.0
204,1,1.0
210,1,1.0
216,1,1.0
222,1,1.0
228,1,1.0
234,1,1.0
240,1,1.0
246,1,1.0
252,1,1.0
258,1,1.0
264,1,1.0
270,1,1.0
276,1,1.0
282,1,1.0
288,1,1.0
294,1,1.0
300,1,1.0
306,1,1.0
312,1,1.0
318,1,1.0
324,1,1.0
330,1,1.0
336,1,1.0
342,1,1.0
348,1,1.0
354,1,1.0
360,1,1.0
366,1,1.0
372,1,1.0
378,1,1.0
384,1,1.0
390,1,1.0
396,1,1.0
402,1,1.0
408,1,1.0
414,1,1.0
420,1,1.0
426,1,1.0
432,1,1.0
438,1,1.0
444,1,1.0
450,1,1.0
456,1,1.0
462,1,1.0
468,1,1.0
474,1,1.0
480,1,1.0
486,1,1.0
492,1,1.0
498,1,1.0
504,1,1.0
510,1,1.0
516,1,1.0
522,1,1.0
528,1,1.0
534,1,1.0
540,1,1.0
546,1,1.0
552,1,1.0
558,1,1.0
564,1,1.0
570,1,1.0
576,1,1.0
582,1,1.0
588,1,1.0
594,1,1.0
72,120,1.0
240,120,1.0
246,120,1.0
252,120,1.0
258,120,1.0
264,120,1.0
270,120,1.0
276,120,1.0
282,120,1.0
288,120,1.0
294,120,1.0
300,120,1.0
306,120,1.0
312,120,1.0
318,120,1.0
324,120,1.0
330,120,1.0
336,120,1.0
342,120,1.0
348,120,1.0
354,120,1.0
360,120,1.0
366,120,1.0
372,120,1.0
378,120,1.0
384,120,1.0
390,120,1.0
396,120,1.0
402,120,1.0
408,120,1.0
414,120,1.0
420,120,1.0
426,120,1.0
432,120,1.0
438,120,1.0
444,120,1.0
450,120,1.0
456,120,1.0
462,120,1.0
468,120,1.0
474,120,1.0
480,120,1.0
486,120,1.0
492,120,1.0
498,120,1.0
504,120,1.0
510,120,1.0
516,120,1.0
522,120,1.0
528,120,1.0
534,120,1.0
540,120,1.0
546,120,1.0
552,120,1.0
558,120,1.0
564,120,1.0
570,120,1.0
576,120,1.0
582,120,1.0
588,120,1.0
594,120,1.0
78,239,1.0
252,239,1.0
258,239,1.0
264,239,1.0
270,239,1.0
276,239,1.0
282,239,1.0
288,239,1.0
294,239,1.0
300,239,1.0
306,239,1.0
312,239,1.0
318,239,1.0
324,239,1.0
330,239,1.0
336,239,1.0
342,239,1.0
348,239,1.0
354,239,1.0
360,239,1.0
366,239,1.0
372,239,1.0
378,239,1.0
384,239,1.0
390,239,1.0
396,239,1.0
402,239,1.0
408,239,1.0
414,239,1.0
420,239,1.0
426,239,1.0
432,239,1.0
438,239,1.0
444,239,1.0
450,239,1.0
456,239,1.0
462,239,1.0
468,239,1.0
474,239,1.0
480,239,1.0
486,239,1.0
492,239,1.0
498,239,1.0
504,239,1.0
510,239,1.0
516,239,1.0
522,239,1.0
528,239,1.0
534,239,1.0
540,239,1.0
546,239,1.0
552,239,1.0
558,239,1.0
564,239,1.0
570,239,1.0
576,239,1.0
582,239,1.0
588,239,1.0
594,239,1.0
78,358,1.0
258,358,1.0
264,358,1.0
270,358,1.0
276,358,1.0
282,358,1.0
288,358,1.0
294,358,1.0
300,358,1.0
306,358,1.0
312,358,1.0
318,358,1.0
324,358,1.0
330,358,1.0
336,358,1.0
342,358,1.0
348,358,1.0
354,358,1.0
360,358,1.0
366,358,1.0
372,358,1.0
378,358,1.0
384,358,1.0
390,358,1.0
396,358,1.0
402,358,1.0
408,358,1.0
414,358,1.0
420,358,1.0
