T (K),P (kPa),Vapor fract
0,1,0.0
6,1,0.0
12,1,0.0
18,1,0.0
24,1,0.0
30,1,0.0
36,1,0.0
42,1,0.0
48,1,0.0
0,120,0.0
6,120,0.0
12,120,0.0
18,120,0.0
24,120,0.0
30,120,0.0
36,120,0.0
42,120,0.0
48,120,0.0
54,120,0.0
60,120,0.0
66,120,0.0
0,239,0.0
6,239,0.0
12,239,0.0
18,239,0.0
24,239,0.0
30,239,0.0
36,239,0.0
42,239,0.0
48,239,0.0
54,239,0.0
60,239,0.0
66,239,0.0
72,239,0.0
0,358,0.0
6,358,0.0
12,358,0.0
18,358,0.0
24,358,0.0
30,358,0.0
36,358,0.0
42,358,0.0
48,358,0.0
54,358,0.0
60,358,0.0
66,358,0.0
72,358,0.0
0,477,0.0
6,477,0.0
12,477,0.0
18,477,0.0
24,477,0.0
30,477,0.0
36,477,0.0
42,477,0.0
48,477,0.0
54,477,0.0
60,477,0.0
66,477,0.0
72,477,0.0
0,596,0.0
6,596,0.0
12,596,0.0
18,596,0.0
24,596,0.0
30,596,0.0
36,596,0.0
42,596,0.0
48,596,0.0
54,596,0.0
60,596,0.0
66,596,0.0
72,596,0.0
0,715,0.0
6,715,0.0
12,715,0.0
18,715,0.0
24,715,0.0
30,715,0.0
36,715,0.0
42,715,0.0
48,715,0.0
54,715,0.0
60,715,0.0
66,715,0.0
72,715,0.0
78,715,0.0
0,834,0.0
6,834,0.0
12,834,0.0
18,834,0.0
24,834,0.0
30,834,0.0
36,834,0.0
42,834,0.0
48,834,0.0
54,834,0.0
60,834,0.0
66,834,0.0
72,834,0.0
78,834,0.0
0,953,0.0
6,953,0.0
12,953,0.0
18,953,0.0
24,953,0.0
30,953,0.0
36,953,0.0
42,953,0.0
48,953,0.0
54,953,0.0
60,953,0.0
66,953,0.0
72,953,0.0
78,953,0.0
0,1072,0.0
6,1072,0.0
12,1072,0.0
18,1072,0.0
24,1072,0.0
30,1072,0.0
36,1072,0.0
42,1072,0.0
48,1072,0.0
54,1072,0.0
60,1072,0.0
66,1072,0.0
72,1072,0.0
78,1072,0.0
0,1191,0.0
6,1191,0.0
12,1191,0.0
18,1191,0.0
24,1191,0.0
30,1191,0.0
36,1191,0.0
42,1191,0.0
48,1191,0.0
54,1191,0.0
60,1191,0.0
66,1191,0.0
72,1191,0.0
78,1191,0.0
0,1310,0.0
6,1310,0.0
12,1310,0.0
18,1310,0.0
24,1310,0.0
30,1310,0.0
36,1310,0.0
42,1310,0.0
48,1310,0.0
54,1310,0.0
60,1310,0.0
66,1310,0.0
72,1310,0.0
78,1310,0.0
0,1429,0.0
6,1429,0.0
12,1429,0.0
18,1429,0.0
24,1429,0.0
30,1429,0.0
36,1429,0.0
42,1429,0.0
48,1429,0.0
54,1429,0.0
60,1429,0.0
66,1429,0.0
72,1429,0.0
78,1429,0.0
0,1548,0.0
6,1548,0.0
12,1548,0.0
18,1548,0.0
24,1548,0.0
30,1548,0.0
36,1548,0.0
42,1548,0.0
48,1548,0.0
54,1548,0.0
60,1548,0.0
66,1548,0.0
72,1548,0.0
78,1548,0.0
0,1667,0.0
6,1667,0.0
12,1667,0.0
18,1667,0.0
24,1667,0.0
30,1667,0.0
36,1667,0.0
42,1667,0.0
48,1667,0.0
54,1667,0.0
60,1667,0.0
66,1667,0.0
72,1667,0.0
78,1667,0.0
0,1786,0.0
6,1786,0.0
12,1786,0.0
18,1786,0.0
24,1786,0.0
30,1786,0.0
36,1786,0.0
42,1786,0.0
48,1786,0.0
54,1786,0.0
60,1786,0.0
66,1786,0.0
72,1786,0.0
78,1786,0.0
84,1786,0.0
0,1905,0.0
6,1905,0.0
12,1905,0.0
18,1905,0.0
24,1905,0.0
30,1905,0.0
36,1905,0.0
42,1905,0.0
48,1905,0.0
54,1905,0.0
60,1905,0.0
66,1905,0.0
72,1905,0.0
78,1905,0.0
84,1905,0.0
0,2024,0.0
6,2024,0.0
12,2024,0.0
18,2024,0.0
24,2024,0.0
30,2024,0.0
36,2024,0.0
42,2024,0.0
48,2024,0.0
54,2024,0.0
60,2024,0.0
66,2024,0.0
72,2024,0.0
78,2024,0.0
84,2024,0.0
0,2143,0.0
6,2143,0.0
12,2143,0.0
18,2143,0.0
24,2143,0.0
30,2143,0.0
36,2143,0.0
42,2143,0.0
48,2143,0.0
54,2143,0.0
60,2143,0.0
66,2143,0.0
72,2143,0.0
78,2143,0.0
84,2143,0.0
0,2262,0.0
6,2262,0.0
12,2262,0.0
18,2262,0.0
24,2262,0.0
30,2262,0.0
36,2262,0.0
42,2262,0.0
48,2262,0.0
54,2262,0.0
60,2262,0.0
66,2262,0.0
72,2262,0.0
78,2262,0.0
84,2262,0.0
0,2381,0.0
6,2381,0.0
12,2381,0.0
18,2381,0.0
24,2381,0.0
30,2381,0.0
36,2381,0.0
42,2381,0.0
48,2381,0.0
54,2381,0.0
60,2381,0.0
66,2381,0.0
72,2381,0.0
78,2381,0.0
84,2381,0.0
0,2500,0.0
6,2500,0.0
12,2500,0.0
18,2500,0.0
24,2500,0.0
30,2500,0.0
36,2500,0.0
42,2500,0.0
48,2500,0.0
54,2500,0.0
60,2500,0.0
66,2500,0.0
72,2500,0.0
78,2500,0.0
84,2500,0.0
0,2619,0.0
6,2619,0.0
12,2619,0.0
18,2619,0.0
24,2619,0.0
30,2619,0.0
36,2619,0.0
42,2619,0.0
48,2619,0.0
54,2619,0.0
60,2619,0.0
66,2619,0.0
72,2619,0.0
78,2619,0.0
84,2619,0.0
0,2738,0.0
6,2738,0.0
12,2738,0.0
18,2738,0.0
24,2738,0.0
30,2738,0.0
36,2738,0.0
42,2738,0.0
48,2738,0.0
54,2738,0.0
60,2738,0.0
66,2738,0.0
72,2738,0.0
78,2738,0.0
84,2738,0.0
0,2857,0.0
6,2857,0.0
12,2857,0.0
18,2857,0.0
24,2857,0.0
30,2857,0.0
36,2857,0.0
42,2857,0.0
48,2857,0.0
54,2857,0.0
60,2857,0.0
66,2857,0.0
72,2857,0.0
78,2857,0.0
84,2857,0.0
0,2976,0.0
6,2976,0.0
12,2976,0.0
18,2976,0.0
24,2976,0.0
30,2976,0.0
36,2976,0.0
42,2976,0.0
48,2976,0.0
54,2976,0.0
60,2976,0.0
66,2976,0.0
72,2976,0.0
78,2976,0.0
84,2976,0.0
0,3095,0.0
6,3095,0.0
12,3095,0.0
18,3095,0.0
24,3095,0.0
30,3095,0.0
36,3095,0.0
42,3095,0.0
48,3095,0.0
54,3095,0.0
60,3095,0.0
66,3095,0.0
72,3095,0.0
78,3095,0.0
84,3095,0.0
0,3214,0.0
6,3214,0.0
12,3214,0.0
18,3214,0.0
24,3214,0.0
30,3214,0.0
36,3214,0.0
42,3214,0.0
48,3214,0.0
54,3214,0.0
60,3214,0.0
66,3214,0.0
72,3214,0.0
78,3214,0.0
84,3214,0.0
0,3333,0.0
6,3333,0.0
12,3333,0.0
18,3333,0.0
24,3333,0.0
30,3333,0.0
36,3333,0.0
42,3333,0.0
48,3333,0.0
54,3333,0.0
60,3333,0.0
66,3333,0.0
72,3333,0.0
78,3333,0.0
84,3333,0.0
0,3452,0.0
6,3452,0.0
12,3452,0.0
18,3452,0.0
24,3452,0.0
30,3452,0.0
36,3452,0.0
42,3452,0.0
48,3452,0.0
54,3452,0.0
60,3452,0.0
66,3452,0.0
72,3452,0.0
78,3452,0.0
84,3452,0.0
0,3571,0.0
6,3571,0.0
12,3571,0.0
18,3571,0.0
24,3571,0.0
30,3571,0.0
36,3571,0.0
42,3571,0.0
48,3571,0.0
54,3571,0.0
60,3571,0.0
66,3571,0.0
72,3571,0.0
78,3571,0.0
84,3571,0.0
0,3690,0.0
6,3690,0.0
12,3690,0.0
18,3690,0.0
24,3690,0.0
30,3690,0.0
36,3690,0.0
42,3690,0.0
48,3690,0.0
54,3690,0.0
60,3690,0.0
66,3690,0.0
72,3690,0.0
78,3690,0.0
84,3690,0.0
0,3809,0.0
6,3809,0.0
12,3809,0.0
18,3809,0.0
24,3809,0.0
30,3809,0.0
36,3809,0.0
42,3809,0.0
48,3809,0.0
54,3809,0.0
60,3809,0.0
66,3809,0.0
72,3809,0.0
78,3809,0.0
84,3809,0.0
0,3928,0.0
6,3928,0.0
12,3928,0.0
18,3928,0.0
24,3928,0.0
30,3928,0.0
36,3928,0.0
42,3928,0.0
48,3928,0.0
54,3928,0.0
60,3928,0.0
66,3928,0.0
72,3928,0.0
78,3928,0.0
84,3928,0.0
90,3928,0.0
0,4047,0.0
6,4047,0.0
12,4047,0.0
18,4047,0.0
24,4047,0.0
30,4047,0.0
36,4047,0.0
42,4047,0.0
48,4047,0.0
54,4047,0.0
