d (m),P (Pa)
0,5515805.6
509.9999999999452,5503494.297499281
1019.9999999998224,5488815.657830961
1530.0000000002635,5472593.277908485
2040.0000000007092,5455486.913622589
2550.000000000036,5437929.965002626
3059.9999999993447,5420148.7513345955
3569.9999999986535,5402244.570418393
4079.9999999979623,5384259.273274768
4589.9999999972715,5366209.401823838
5099.9599999998645,5348373.87608865
5609.959999999173,5331579.058306012
6119.959999998482,5314729.244270102
6629.959999997791,5297824.357173001
7139.9599999971,5280864.054053072
7649.959999996408,5263847.882154168
8159.959999995717,5246775.340395161
8669.959999999288,5229645.903458079
9179.960000003144,5212459.031153375
9689.960000007,5195214.171983817
10199.920000001512,4164560.781446026
10200,4164341.1934662466
